"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-901","ieu-b-40","body mass index || id:ieu-b-40","Ephrin-A5 || id:prot-a-901","Wald ratio",1,0.00469483568075117,0.0121638924455826,0.699522655082611,"prot-a-901","Ephrin-A5"
"prot-a-876","ieu-b-40","body mass index || id:ieu-b-40","Dual specificity protein phosphatase 4 || id:prot-a-876","Wald ratio",1,0.0316455696202532,0.0097813578826237,0.00121517485941101,"prot-a-876","Dual specificity protein phosphatase 4"
"prot-a-867","ieu-b-40","body mass index || id:ieu-b-40","Desmocollin-3 || id:prot-a-867","Inverse variance weighted",2,-0.000367491960146966,0.00913769511479517,0.967920013251442,"prot-a-867","Desmocollin-3"
"prot-a-971","ieu-b-40","body mass index || id:ieu-b-40","Endoplasmic reticulum aminopeptidase 1 || id:prot-a-971","Wald ratio",1,-0.00676027041081643,0.00218408736349454,0.0019665496444848,"prot-a-971","Endoplasmic reticulum aminopeptidase 1"
"prot-a-86","ieu-b-40","body mass index || id:ieu-b-40","Junctional adhesion molecule-like || id:prot-a-86","Wald ratio",1,0.0228113440197287,0.0117139334155364,0.0514905811821035,"prot-a-86","Junctional adhesion molecule-like"
"prot-a-954","ieu-b-40","body mass index || id:ieu-b-40","Ectonucleoside triphosphate diphosphohydrolase 6 || id:prot-a-954","Wald ratio",1,0.0138010350776308,0.0109258194364577,0.206532441214479,"prot-a-954","Ectonucleoside triphosphate diphosphohydrolase 6"
"prot-a-92","ieu-b-40","body mass index || id:ieu-b-40","Angiopoietin-1 || id:prot-a-92","Wald ratio",1,0.0278850278850279,0.00772200772200772,0.000304887997471077,"prot-a-92","Angiopoietin-1"
"prot-a-884","ieu-b-40","body mass index || id:ieu-b-40","Endothelin-converting enzyme 1 || id:prot-a-884","Wald ratio",1,0.0241020793950851,0.00803402646502835,0.00269979606326019,"prot-a-884","Endothelin-converting enzyme 1"
"prot-a-878","ieu-b-40","body mass index || id:ieu-b-40","Segment polarity protein dishevelled homolog DVL-2 || id:prot-a-878","Inverse variance weighted",2,-0.0106545719404696,0.0068535909605055,0.120042078927429,"prot-a-878","Segment polarity protein dishevelled homolog DVL-2"
"prot-a-989","ieu-b-40","body mass index || id:ieu-b-40","S-formylglutathione hydrolase || id:prot-a-989","Inverse variance weighted",2,-0.00176120510999401,0.00345750487629307,0.610481579907321,"prot-a-989","S-formylglutathione hydrolase"
"prot-a-983","ieu-b-40","body mass index || id:ieu-b-40","ERO1-like protein beta || id:prot-a-983","Wald ratio",1,-0.00209314495028781,0.00470957613814757,0.65672128656377,"prot-a-983","ERO1-like protein beta"
"prot-a-873","ieu-b-40","body mass index || id:ieu-b-40","Dual specificity protein phosphatase 13 isoform A || id:prot-a-873","Wald ratio",1,-0.030060120240481,0.00601202404809619,5.73303143758388e-07,"prot-a-873","Dual specificity protein phosphatase 13 isoform A"
"prot-a-979","ieu-b-40","body mass index || id:ieu-b-40","Endoplasmic reticulum lectin 1 || id:prot-a-979","Wald ratio",1,0.0240847784200385,0.0101156069364162,0.0172679439961756,"prot-a-979","Endoplasmic reticulum lectin 1"
"prot-a-999","ieu-b-40","body mass index || id:ieu-b-40","Envoplakin || id:prot-a-999","Wald ratio",1,-0.0199228791773779,0.0122107969151671,0.102768216190316,"prot-a-999","Envoplakin"
"prot-a-857","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidase 2 || id:prot-a-857","MR Egger",3,0.0527418335796569,0.0788410223974468,0.62465431492848,"prot-a-857","Dipeptidase 2"
"prot-a-857","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidase 2 || id:prot-a-857","Weighted median",3,-0.0172738257983018,0.00557131358650184,0.00193197958016708,"prot-a-857","Dipeptidase 2"
"prot-a-857","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidase 2 || id:prot-a-857","Inverse variance weighted",3,-0.016332582125742,0.00481115695470617,0.000686961405499593,"prot-a-857","Dipeptidase 2"
"prot-a-857","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidase 2 || id:prot-a-857","Simple mode",3,-0.0207014437142662,0.00777936854512789,0.11695580606649,"prot-a-857","Dipeptidase 2"
"prot-a-857","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidase 2 || id:prot-a-857","Weighted mode",3,-0.0122157707246262,0.00941877637638126,0.324106332542032,"prot-a-857","Dipeptidase 2"
"prot-a-992","ieu-b-40","body mass index || id:ieu-b-40","Persulfide dioxygenase ETHE1, mitochondrial || id:prot-a-992","Inverse variance weighted",2,-0.0208807838646686,0.00745605803852639,0.00510215287250544,"prot-a-992","Persulfide dioxygenase ETHE1, mitochondrial"
