"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"prot-a-2007","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neural cell adhesion molecule 1 || id:prot-a-2007","Wald ratio",1,-0.195090858725762,0.115582271468144,0.0914311862533158
"prot-a-2345","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein phosphatase 1A || id:prot-a-2345","Wald ratio",1,0.221632835820895,0.125561194029851,0.0775405743308628
"prot-a-2110","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neuron-specific protein family member 1 || id:prot-a-2110","Wald ratio",1,0.0375979532163743,0.13059283625731,0.773421671096825
"prot-a-2215","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Programmed cell death 1 ligand 2 || id:prot-a-2215","Inverse variance weighted",3,0.00589868153838112,0.0375314996805478,0.875113900277477
"prot-a-2223","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A || id:prot-a-2223","Wald ratio",1,-0.0602906735751295,0.106098445595855,0.569863741057159
"prot-a-2018","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Kinetochore protein NDC80 homolog || id:prot-a-2018","Inverse variance weighted",2,0.0302505978105015,0.0599515777188812,0.613851156393985
"prot-a-2296","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 || id:prot-a-2296","Inverse variance weighted",2,0.152697310894625,0.0783812767256914,0.0513988082588287
"prot-a-2274","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Serine/threonine-protein kinase pim-1 || id:prot-a-2274","Wald ratio",1,0.22169014084507,0.0576058280718795,0.000118892888398998
"prot-a-2012","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nuclear receptor coactivator 2 || id:prot-a-2012","Wald ratio",1,0.036934547524189,0.111242458736483,0.739875335573517
"prot-a-2017","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Natural cytotoxicity triggering receptor 3 ligand 1 || id:prot-a-2017","Wald ratio",1,0.120299642218247,0.12275,0.327067451082452
"prot-a-2052","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nischarin || id:prot-a-2052","Inverse variance weighted",2,0.079048997414528,0.0594958698189622,0.183964522150381
"prot-a-2202","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protocadherin beta-10 || id:prot-a-2202","Wald ratio",1,-0.0123923233695652,0.0489543138586957,0.800159582055348
"prot-a-2034","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neuroepithelial cell-transforming gene 1 protein || id:prot-a-2034","Wald ratio",1,-0.00751160443995964,0.106239825092499,0.943633158621435
