"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-2286","R12_amyloidosis","R12_E4_AMYLNAS","Phospholipase A2, membrane associated || id:prot-a-2286","Wald ratio",1,0.0680879960803528,0.0662566389024988,0.304119032913005,"prot-a-2286","Phospholipase A2, membrane associated"
"prot-a-2170","R12_amyloidosis","R12_E4_AMYLNAS","Serine/threonine-protein kinase PAK 4 || id:prot-a-2170","Wald ratio",1,-0.570615177368657,0.344541086663673,0.0976894146696293,"prot-a-2170","Serine/threonine-protein kinase PAK 4"
"prot-a-2418","R12_amyloidosis","R12_E4_AMYLNAS","26S proteasome non-ATPase regulatory subunit 5 || id:prot-a-2418","Wald ratio",1,-0.150993897122929,0.287791194420227,0.599816261069194,"prot-a-2418","26S proteasome non-ATPase regulatory subunit 5"
"prot-a-2074","R12_amyloidosis","R12_E4_AMYLNAS","Nuclear pore complex-interacting protein family member B3 || id:prot-a-2074","Inverse variance weighted",2,-0.00306186925166026,0.171982255654627,0.985795690706771,"prot-a-2074","Nuclear pore complex-interacting protein family member B3"
"prot-a-2200","R12_amyloidosis","R12_E4_AMYLNAS","Protocadherin alpha-7 || id:prot-a-2200","Inverse variance weighted",2,-0.0791270679749601,0.155088553959158,0.609907342381949,"prot-a-2200","Protocadherin alpha-7"
"prot-a-2307","R12_amyloidosis","R12_E4_AMYLNAS","Plexin-A1 || id:prot-a-2307","Wald ratio",1,-0.124187704918033,0.266839344262295,0.641643225432139,"prot-a-2307","Plexin-A1"
"prot-a-2206","R12_amyloidosis","R12_E4_AMYLNAS","Protocadherin gamma-A8 || id:prot-a-2206","Wald ratio",1,0.00437885964912281,0.445275025799794,0.992153684818388,"prot-a-2206","Protocadherin gamma-A8"
"prot-a-2281","R12_amyloidosis","R12_E4_AMYLNAS","Polycystin-2 || id:prot-a-2281","Wald ratio",1,0.77384778012685,0.424024665257223,0.0680000449487397,"prot-a-2281","Polycystin-2"
"prot-a-2354","R12_amyloidosis","R12_E4_AMYLNAS","Basic salivary proline-rich protein 4 || id:prot-a-2354","Wald ratio",1,0.0899177987566198,0.21268869445084,0.672465138194322,"prot-a-2354","Basic salivary proline-rich protein 4"
"prot-a-2438","R12_amyloidosis","R12_E4_AMYLNAS","Tyrosine-protein phosphatase non-receptor type 1 || id:prot-a-2438","Inverse variance weighted",2,0.0833296420209605,0.162018643785374,0.607027361291391,"prot-a-2438","Tyrosine-protein phosphatase non-receptor type 1"
"prot-a-2129","R12_amyloidosis","R12_E4_AMYLNAS","ADP-ribose pyrophosphatase, mitochondrial || id:prot-a-2129","MR Egger",3,1.09564207513465,0.463554131981192,0.254807647973198,"prot-a-2129","ADP-ribose pyrophosphatase, mitochondrial"
